Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.00750805	1.14921e-06	49.0518	6533.23
1/delta	0.00210096	8.77816e-08	50.2843	23934
nu	0.0451236	1.96645e-06	1035.44	22946.7
KU365780.1	0.000275102	2.52326e-08	2.99933	10902.6
KU312312.1	0.00128363	1.1774e-07	13.9946	10902.3
KU365778.1	0.001192	1.09334e-07	12.9957	10902.4
KU501215.1	0.00119202	1.09336e-07	12.9958	10902.4
KU527068.1	0.001737	1.59367e-07	18.9321	10899.3
KJ776791.2	0.000458483	4.20528e-08	4.99864	10902.6
KU729218.1	0.00137518	1.26137e-07	14.9924	10902.2
KU729217.2	0.00164544	1.50955e-07	17.9356	10900.2
KU321639.1	0.000458486	4.2053e-08	4.99867	10902.6
KU509998.3	0.000183412	1.68228e-08	1.99968	10902.6
KF993678.1	0.00547841	5.03005e-07	59.6673	10891.4
JN860885.1	0.0061279	5.62535e-07	66.7535	10893.4
EU545988.1	0.00594531	5.50798e-07	64.1737	10794
HQ234499.1	0.0103432	9.49952e-07	112.618	10888.1
HQ234500.1	0.01321	1.25248e-06	139.326	10547
HQ234501.1	0.00760576	7.21543e-07	80.1719	10541
KF383116.1	0.00259748	2.43143e-07	27.7488	10682.9
KF383117.1	0.0106706	1.24053e-06	91.7858	8601.71
LC002520.1	0.00073327	6.72581e-08	7.99436	10902.3
KF383119.1	0.000366794	3.36429e-08	3.99901	10902.6
AY632535.2	0.000903335	8.32782e-08	9.79865	10847.2
KF383118.1	0.000755455	8.10662e-08	7.04008	9318.99
KF268950.1	0.00037327	3.4274e-08	4.06521	10890.8
KF268949.1	0.00683638	6.28078e-07	74.4113	10884.6
KF383115.1	0.0120523	1.17698e-06	123.415	10240
DQ859059.1	0.0220538	2.23123e-06	217.983	9884.16
KF383120.1	0.104538	2.0567e-05	531.342	5082.78
DQ859064.1	0.269908	2.61382e-05	2787.13	10326.2
NODE_32	0.000453383	4.15899e-08	4.94246	10901.3
NODE_33	0.000916928	8.4103e-08	9.99675	10902.4
NODE_34	0.000828561	7.62795e-08	8.99997	10862.2
NODE_35	0.000366792	3.36426e-08	3.99898	10902.6
NODE_36	0.000275102	2.52327e-08	2.99933	10902.6
NODE_37	0.000641868	5.88733e-08	6.99798	10902.5
NODE_38	0.000366794	3.36428e-08	3.99901	10902.6
NODE_41	0.000733561	6.72837e-08	7.99765	10902.5
NODE_42	0.00494287	4.53578e-07	53.865	10897.5
NODE_43	0.00284111	2.60621e-07	30.9719	10901.3
NODE_44	0.00320515	2.94046e-07	34.9366	10900.2
NODE_45	0.0218148	2.09297e-06	227.373	10422.9
NODE_46	0.0659597	6.99768e-06	621.733	9425.95
NODE_47	0.00794786	7.30023e-07	86.5295	10887.1
NODE_48	0.00262817	2.41954e-07	28.5479	10862.3
NODE_49	0.000464853	4.31275e-08	5.01045	10778.6
NODE_50	0.011412	1.04957e-06	124.083	10873
NODE_51	0.0190153	1.81793e-06	198.897	10459.8
NODE_52	0.00942481	8.65511e-07	102.63	10889.3
NODE_53	0.00676777	6.21272e-07	73.724	10893.4
NODE_54	0.00658935	6.04802e-07	71.7912	10895
NODE_55	0.00181404	1.66521e-07	19.7616	10893.7
NODE_56	0.0060368	5.54138e-07	65.7651	10894
NODE_57	0.0139297	1.30349e-06	148.859	10686.4
NODE_58	0.0094154	8.68413e-07	102.083	10842.1
NODE_59	0.00166467	4.07249e-07	6.8045	4087.6
